City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,lubango,-14.9172,13.4925,60.66,63,0,4.61,AO,1722653406
84,tripoli,32.8752,13.1875,82.62,41,0,6.96,LY,1722653260
85,saudarkrokur,65.7461,-19.6394,48.99,87,94,4.16,IS,1722653409
86,kodiak,57.79,-152.4072,60.31,72,0,6.91,US,1722653410
87,labrador city,52.9463,-66.9114,66.11,82,75,2.3,CA,1722653411
88,chernogorsk,53.8236,91.2842,76.57,65,0,6.71,RU,1722653414
89,vilyuchinsk,52.9306,158.4028,71.87,76,94,7.61,RU,1722653415
90,palpa,-14.5336,-75.1856,64.2,64,0,2.01,PE,1722653416
91,santiago de cao,-7.9589,-79.2392,62.73,94,100,9.22,PE,1722653417
92,santa ana,33.7456,-117.8678,90.32,45,20,9.22,US,1722653201
93,lebu,-37.6167,-73.65,48.13,92,15,5.86,CL,1722653420
94,blackmans bay,-43.0167,147.3167,54.73,62,100,3.0,AU,1722653421
95,tiksi,71.6872,128.8694,46.24,65,100,1.16,RU,1722653422
96,bonthe,7.5264,-12.505,76.23,89,100,15.14,SL,1722653424
97,iqaluit,63.7506,-68.5145,42.53,60,20,0.0,CA,1722653425
98,keflavik,64.0049,-22.5624,51.71,81,0,12.66,IS,1722653426
99,hamilton,39.1834,-84.5333,70.45,91,16,5.01,US,1722653387
100,isafjordur,66.0755,-23.124,46.83,95,99,4.83,IS,1722653429
101,san patricio,28.017,-97.5169,85.89,73,40,10.25,US,1722653430
102,sinabang,2.4803,96.3801,80.51,78,100,4.21,ID,1722653431
103,kerikeri,-35.2268,173.9474,57.9,94,100,8.01,NZ,1722653433
104,codrington,-38.2667,141.9667,55.72,60,99,6.98,AU,1722653434
105,college,64.8569,-147.8028,51.78,89,100,11.5,US,1722653435
106,remire-montjoly,4.9167,-52.2667,75.24,100,0,0.0,GF,1722653436
107,port mathurin,-19.6833,63.4167,71.69,66,44,10.38,MU,1722653438
108,nouadhibou,20.931,-17.0347,71.58,83,2,2.3,MR,1722653439
109,pyshma,56.9523,63.2513,61.45,88,31,7.61,RU,1722653440
110,gur'yevsk,54.2833,85.9333,75.94,64,30,6.17,RU,1722653441
111,lethem,3.3803,-59.7968,76.69,82,82,5.57,GY,1722653444
112,cockburn town,21.4612,-71.1419,82.85,85,80,21.92,TC,1722653446
113,horta,38.5333,-28.6333,73.11,78,24,3.6,PT,1722653447
114,happy valley-goose bay,53.3168,-60.3315,55.71,88,20,3.44,CA,1722653448
115,west island,-12.1568,96.8225,80.58,74,75,12.66,CC,1722653449
116,olyokminsk,60.3736,120.4264,66.81,47,100,3.51,RU,1722653451
117,mejit,10.2753,170.8646,83.05,75,5,4.72,MH,1722653452
118,udachny,66.4167,112.4,65.12,48,100,3.09,RU,1722653453
119,st. john's,47.5649,-52.7093,57.15,94,100,14.97,CA,1722653454
120,iskateley,67.6803,53.1512,61.02,71,8,15.35,RU,1722653456
121,stanley,54.868,-1.6985,60.28,90,40,5.75,GB,1722653457
122,san antonio de pale,-1.4014,5.6325,72.48,76,99,10.56,GQ,1722653458
123,nemuro,43.3236,145.575,66.06,83,77,13.2,JP,1722653461
124,flying fish cove,-10.4217,105.6791,80.28,78,75,13.8,CX,1722653462
